"","Foods","Calories","Carbs","Fat","Protein","Cholest","Sodium","Sugars","Fiber","day"
"22","Chicken - Breast, meat only, cooked, stewed, 200 g","302","0g","6g","58g","154mg","126mg","0g","0g",2014-04-01
"24","Trader Joe's - 73% Super Dark Chocolate, 2 sections (42g)","96","8g","7g","1g","0mg","0mg","4g","2g",2014-04-01
"25","Body Tech - Whey Tech Pro 24- Chocolate, 19.7 grams/1 scoop","74","2g","1g","16g","13mg","114mg","0g","1g",2014-04-01
"26","Trader Joe's - Creamy Almond Butter With Sea Salt, 10 g","59","2g","5g","3g","0mg","19mg","1g","1g",2014-04-01
"27","Bamboo Lane (Costco) - Crunchy Rice Rollers, 2 Roller","90","20g","0g","2g","0mg","10mg","8g","0g",2014-04-01
"29","Golden Spoon - Non Fat Flavors, 8 ounces","200","46g","0g","6g","4mg","196mg","31g","0g",2014-04-01
"31","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-02
"32","Post - Honey-Comb, 1 1/2 Cups","130","28g","1g","2g","0mg","180mg","10g","1g",2014-04-02
"33","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-02
"34","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-02
"35","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-02
"36","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-02
"37","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-02
"38","Quaker Oats - 100% Natural Whole Grains Old Fashioned, 1/2 Cup (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-02
"39","Kellogg's - Rice Krispies Treat Rainbow Chip 90 Calories, 1 bar","90","17g","3g","1g","0mg","95mg","9g","0g",2014-04-02
"41","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-02
"42","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-02
"43","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-02
"44","Chicken - Breast, meat only, cooked, stewed, 162 g","245","0g","5g","47g","125mg","102mg","0g","0g",2014-04-02
"45","Trader Joe's - Yukon Gold Potato, 242 g","180","43g","0g","5g","0mg","0mg","2g","3g",2014-04-02
"47","Trader Joe's - Sliced White Mushroom, 100 grams","24","4g","0g","4g","0mg","18mg","1g","1g",2014-04-02
"48","Wishbone - Balsamic Vinaigrette, 1 Tbsp","30","2g","3g","0g","0mg","140mg","2g","0g",2014-04-02
"49","Usda  National Nutrient Database - Tomato - Raw 100g Serving, 100 g","18","4g","0g","1g","0mg","5mg","3g","1g",2014-04-02
"50","Generic - Red Bell Peppers Sweet Raw 100 g, 100 g","31","6g","0g","1g","0mg","4mg","4g","2g",2014-04-02
"51","Cucumber - Peeled, raw, 300 g","36","6g","0g","2g","0mg","6mg","4g","2g",2014-04-02
"52","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-02
"53","Cauliflower - Raw, 450 g","113","24g","0g","9g","0mg","135mg","11g","11g",2014-04-02
"54","Cabbage - Red, raw, 200 g","62","15g","0g","3g","0mg","54mg","8g","4g",2014-04-02
"55","Generic - Celery Raw 100 g, 200 g","32","7g","0g","1g","0mg","160mg","4g","3g",2014-04-02
"57","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-02
"58","Trader Joe's - Yukon Gold Potato, 242 g","180","43g","0g","5g","0mg","0mg","2g","3g",2014-04-02
"59","Chicken - Breast, meat only, cooked, stewed, 175 g","264","0g","5g","51g","135mg","110mg","0g","0g",2014-04-02
"61","Bamboo Lane (Costco) - Crunchy Rice Rollers, 2 Roller","90","20g","0g","2g","0mg","10mg","8g","0g",2014-04-02
"62","Trader Joe's - Creamy Almond Butter With Sea Salt, 10 g","59","2g","5g","3g","0mg","19mg","1g","1g",2014-04-02
"63","Trader Joe's - 73% Super Dark Chocolate, 2 sections (42g)","96","8g","7g","1g","0mg","0mg","4g","2g",2014-04-02
"65","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-02
"66","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-02
"67","Trader Joe's - 73% Super Dark Chocolate, 2 sections (42g)","96","8g","7g","1g","0mg","0mg","4g","2g",2014-04-02
"69","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-03
"70","Post - Honey-Comb, 1 1/2 Cups","130","28g","1g","2g","0mg","180mg","10g","1g",2014-04-03
"71","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-03
"72","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-03
"73","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-03
"74","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-03
"75","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-03
"76","Quaker Oats - 100% Natural Whole Grains Old Fashioned, 1/2 Cup (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-03
"77","Kellogg's - Rice Krispies Treat Rainbow Chip 90 Calories, 1 bar","90","17g","3g","1g","0mg","95mg","9g","0g",2014-04-03
"79","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-03
"80","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-03
"81","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-03
"82","Chicken - Breast, meat only, cooked, stewed, 146 g","220","0g","4g","42g","112mg","92mg","0g","0g",2014-04-03
"83","Trader Joe's - Yukon Gold Potato, 248 g","184","44g","0g","5g","0mg","0mg","2g","3g",2014-04-03
"85","Trader Joe's - Sliced White Mushroom, 100 grams","24","4g","0g","4g","0mg","18mg","1g","1g",2014-04-03
"86","Wishbone - Balsamic Vinaigrette, 1 Tbsp","30","2g","3g","0g","0mg","140mg","2g","0g",2014-04-03
"87","Usda  National Nutrient Database - Tomato - Raw 100g Serving, 100 g","18","4g","0g","1g","0mg","5mg","3g","1g",2014-04-03
"88","Generic - Red Bell Peppers Sweet Raw 100 g, 100 g","31","6g","0g","1g","0mg","4mg","4g","2g",2014-04-03
"89","Cucumber - Peeled, raw, 300 g","36","6g","0g","2g","0mg","6mg","4g","2g",2014-04-03
"90","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-03
"91","Cauliflower - Raw, 450 g","113","24g","0g","9g","0mg","135mg","11g","11g",2014-04-03
"92","Cabbage - Red, raw, 200 g","62","15g","0g","3g","0mg","54mg","8g","4g",2014-04-03
"93","Generic - Celery Raw 100 g, 200 g","32","7g","0g","1g","0mg","160mg","4g","3g",2014-04-03
"95","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-03
"96","Trader Joe's - Yukon Gold Potato, 242 g","180","43g","0g","5g","0mg","0mg","2g","3g",2014-04-03
"97","Chicken - Breast, meat only, cooked, stewed, 175 g","264","0g","5g","51g","135mg","110mg","0g","0g",2014-04-03
"99","Bamboo Lane (Costco) - Crunchy Rice Rollers, 2 Roller","90","20g","0g","2g","0mg","10mg","8g","0g",2014-04-03
"100","Trader Joe's - Creamy Almond Butter With Sea Salt, 10 g","59","2g","5g","3g","0mg","19mg","1g","1g",2014-04-03
"101","Trader Joe's - 73% Super Dark Chocolate, 2 sections (42g)","96","8g","7g","1g","0mg","0mg","4g","2g",2014-04-03
"103","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-03
"104","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-03
"105","Body Tech - Whey Tech Pro 24- Chocolate, 19.7 grams/1 scoop","74","2g","1g","16g","13mg","114mg","0g","1g",2014-04-03
"106","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-03
"108","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-04
"109","Post - Honey-Comb, 1 1/2 Cups","130","28g","1g","2g","0mg","180mg","10g","1g",2014-04-04
"110","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-04
"111","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-04
"112","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-04
"113","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-04
"114","Trader Joe's - Almond Milk, Vanilla Unsweetened 240ml (8 Oz), 240 mL/8 fl oz","40","3g","3g","1g","0mg","180mg","0g","1g",2014-04-04
"115","Quaker Oats - 100% Natural Whole Grains Old Fashioned, 1/2 Cup (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-04
"116","Kellogg's - Rice Krispies Treat Rainbow Chip 90 Calories, 1 bar","90","17g","3g","1g","0mg","95mg","9g","0g",2014-04-04
"118","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-04
"119","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-04
"120","Trader Joe's - Yukon Gold Potato, 248 g","184","44g","0g","5g","0mg","0mg","2g","3g",2014-04-04
"121","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-04
"122","Chicken - Breast, meat only, cooked, stewed, 175 g","264","0g","5g","51g","135mg","110mg","0g","0g",2014-04-04
"124","Trader Joe's - Flour Tortillas, 1 tortilla (48g)","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-04
"125","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-04
"126","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-04
"127","Chicken - Breast, meat only, cooked, stewed, 175 g","264","0g","5g","51g","135mg","110mg","0g","0g",2014-04-04
"128","Trader Joe's - Yukon Gold Potato, 248 g","184","44g","0g","5g","0mg","0mg","2g","3g",2014-04-04
"130","Trader Joe's - Creamy Almond Butter With Sea Salt, 16 g","95","3g","9g","4g","0mg","30mg","1g","2g",2014-04-04
"131","Generic - Gala Apple, 0.85 Large (approx 200 grams)","94","15g","0g","1g","0mg","2mg","15g","4g",2014-04-04
"132","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-04
"133","Post - Honey-Comb, 1 1/2 Cups","130","28g","1g","2g","0mg","180mg","10g","1g",2014-04-04
"135","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-04
"137","Golden Spoon - Non Fat Flavors, 8 ounces","200","46g","0g","6g","4mg","196mg","31g","0g",2014-04-04
"139","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-05
"140","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-05
"141","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-05
"142","Post - Honey-Comb, 1 1/2 Cups","130","28g","1g","2g","0mg","180mg","10g","1g",2014-04-05
"143","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-05
"144","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-05
"145","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-05
"146","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-05
"147","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-05
"148","Quaker Oats - 100% Natural Whole Grains Old Fashioned, 1/2 Cup (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-05
"150","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-05
"151","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-05
"152","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-05
"153","Chicken - Breast, meat only, cooked, stewed, 100 g","151","0g","3g","29g","77mg","63mg","0g","0g",2014-04-05
"154","Trader Joe's - Yukon Gold Potato, 242 g","180","43g","0g","5g","0mg","0mg","2g","3g",2014-04-05
"156","Quaker - Honey Graham Oh's Cereal, 0.75 cup","110","23g","2g","1g","0mg","170mg","12g","1g",2014-04-05
"157","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-05
"158","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-05
"159","Trader Joe's - Flour Tortillas, 1 tortilla (48g)","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-05
"160","Breyer's Fat Free Ice Cream - Vanilla, 1 cup","180","42g","0g","6g","0mg","90mg","26g","6g",2014-04-05
"162","Panera Bread - Focaccia, 1.2 oz","108","17g","3g","3g","0mg","192mg","0g","1g",2014-04-05
"163","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-05
"164","Trader Joe's - Yukon Gold Potato, 242 g","180","43g","0g","5g","0mg","0mg","2g","3g",2014-04-05
"165","Chicken - Breast, meat only, cooked, stewed, 100 g","151","0g","3g","29g","77mg","63mg","0g","0g",2014-04-05
"167","Trader Joe's - Yukon Gold Potato, 242 g","180","43g","0g","5g","0mg","0mg","2g","3g",2014-04-05
"168","Trader Joes - Lite Shredded Mozzarella Cheese, 1 oz","45","0g","3g","5g","10mg","190mg","0g","0g",2014-04-05
"169","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-05
"170","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-05
"171","Candy Skittles - Original, 1 packet","250","56g","3g","0g","0mg","20mg","46g","0g",2014-04-05
"172","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-05
"173","Quaker - Honey Graham Oh's Cereal, 0.75 cup","110","23g","2g","1g","0mg","170mg","12g","1g",2014-04-05
"174","Body Tech - Whey Tech Pro 24- Chocolate, 9.7 grams/1 scoop","36","1g","0g","8g","7mg","56mg","0g","0g",2014-04-05
"176","Usda  National Nutrient Database - Tomato - Raw 100g Serving, 100 g","18","4g","0g","1g","0mg","5mg","3g","1g",2014-04-05
"177","Cabbage - Red, raw, 200 g","62","15g","0g","3g","0mg","54mg","8g","4g",2014-04-05
"178","Cucumber - Peeled, raw, 300 g","36","6g","0g","2g","0mg","6mg","4g","2g",2014-04-05
"179","Generic - Red Bell Peppers Sweet Raw 100 g, 60 g","19","4g","0g","0g","0mg","2mg","2g","1g",2014-04-05
"180","Wishbone - Balsamic Vinaigrette, 1 Tbsp","30","2g","3g","0g","0mg","140mg","2g","0g",2014-04-05
"182","Cauliflower - Raw, 450 g","113","24g","0g","9g","0mg","135mg","11g","11g",2014-04-06
"183","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-06
"185","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-06
"186","Trader Joe's - Flour Tortillas, 1 tortilla (48g)","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-06
"187","Quaker - Honey Graham Oh's Cereal, 0.75 cup","110","23g","2g","1g","0mg","170mg","12g","1g",2014-04-06
"188","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-06
"190","Trader Joe's - Organic Free Range Eggs - Large, 2 egg","140","2g","9g","12g","430mg","130mg","0g","0g",2014-04-06
"191","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-06
"192","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-06
"193","All White - Liquid Egg Whites, 15 tbsp","125","0g","0g","25g","0mg","375mg","0g","0g",2014-04-06
"194","Trader Joe's - Goat's Milk Creamy Cheese, 28 g","45","1g","4g","3g","15mg","140mg","1g","0g",2014-04-06
"195","Trader Joe's - Yukon Gold Potato, 300 g","223","53g","0g","6g","0mg","0mg","2g","4g",2014-04-06
"196","Body Tech - Whey Tech Pro 24- Chocolate, 29.4 grams/1 scoop","110","3g","1g","24g","20mg","170mg","0g","1g",2014-04-06
"198","Chicken - Breast, meat only, cooked, stewed, 200 g","302","0g","6g","58g","154mg","126mg","0g","0g",2014-04-06
"199","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-06
"200","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-06
"201","Trader Joe's - Yukon Gold Potato, 250 g","186","44g","0g","5g","0mg","0mg","2g","3g",2014-04-06
"202","Trader Joe's - Goat's Milk Creamy Cheese, 28 g","45","1g","4g","3g","15mg","140mg","1g","0g",2014-04-06
"204","Breyer's Fat Free Ice Cream - Vanilla, 1 cup","180","42g","0g","6g","0mg","90mg","26g","6g",2014-04-06
"205","Nuts - Walnuts, english, 15 g","98","2g","10g","2g","0mg","0mg","0g","1g",2014-04-06
"206","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-06
"207","Quaker - Honey Graham Oh's Cereal, 0.75 cup","110","23g","2g","1g","0mg","170mg","12g","1g",2014-04-06
"209","Body Tech - Whey Tech Pro 24- Chocolate, 14.7 grams/1 scoop","55","2g","1g","12g","10mg","85mg","0g","1g",2014-04-06
"210","Starburst - Very Berry, 1 package","240","49g","5g","0g","0mg","0mg","33g","0g",2014-04-06
"212","Quaker Oats - 100% Natural Whole Grains Old Fashioned, 1/2 Cup (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-07
"213","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-07
"214","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-07
"215","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-07
"216","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-07
"217","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-07
"218","Kellogg's - Rice Krispies Treats Double Chocolatey Chunk 100 Calories, 1 Bar (22g)","100","15g","4g","0g","0mg","75mg","9g","0g",2014-04-07
"219","Almond Breeze - Almond Milk 30 Cal, 2 cup","60","2g","5g","2g","0mg","360mg","0g","2g",2014-04-07
"221","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-07
"222","Trader Joe's - Goat's Milk Creamy Cheese, 28 g","45","1g","4g","3g","15mg","140mg","1g","0g",2014-04-07
"223","Trader Joe's - Yukon Gold Potato, 262 g","195","46g","0g","5g","0mg","0mg","2g","4g",2014-04-07
"224","Chicken - Breast, meat only, cooked, stewed, 155 g","234","0g","5g","45g","119mg","98mg","0g","0g",2014-04-07
"225","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-07
"227","Trader Joe's - Sliced White Mushroom, 100 grams","24","4g","0g","4g","0mg","18mg","1g","1g",2014-04-07
"228","Wishbone - Balsamic Vinaigrette, 1 Tbsp","30","2g","3g","0g","0mg","140mg","2g","0g",2014-04-07
"229","Cucumber - Peeled, raw, 300 g","36","6g","0g","2g","0mg","6mg","4g","2g",2014-04-07
"230","Cabbage - Red, raw, 250 g","78","18g","0g","4g","0mg","68mg","10g","5g",2014-04-07
"231","Usda  National Nutrient Database - Tomato - Raw 100g Serving, 100 g","18","4g","0g","1g","0mg","5mg","3g","1g",2014-04-07
"233","Trader Joe's - Flour Tortillas, 1 tortilla (48g)","170","30g","4g","5g","0mg","260mg","0g","2g",2014-04-07
"234","Trader Joes - Lite Shredded Mozzarella Cheese, 2 oz","90","0g","6g","10g","20mg","380mg","0g","0g",2014-04-07
"235","Chicken - Breast, meat only, cooked, stewed, 155 g","234","0g","5g","45g","119mg","98mg","0g","0g",2014-04-07
"237","Body Tech - Whey Tech Pro 24- Chocolate, 29.4 grams/1 scoop","110","3g","1g","24g","20mg","170mg","0g","1g",2014-04-07
"238","Quaker - Honey Graham Oh's Cereal, 1.5 cup","220","46g","4g","2g","0mg","340mg","24g","2g",2014-04-07
"239","Almond Breeze - Almond Milk 30 Cal, 2 cup","60","2g","5g","2g","0mg","360mg","0g","2g",2014-04-07
"240","Kellogg's - Rice Krispies Treat Rainbow Chip 90 Calories, 1 bar","90","17g","3g","1g","0mg","95mg","9g","0g",2014-04-07
"242","Nuts - Walnuts, english, 15 g","98","2g","10g","2g","0mg","0mg","0g","1g",2014-04-07
"243","Breyer's Fat Free Ice Cream - Vanilla, 1 cup","180","42g","0g","6g","0mg","90mg","26g","6g",2014-04-07
"245","Quaker Oats - 100% Natural Whole Grains Old Fashioned, 1/2 Cup (40g)","150","27g","3g","5g","0mg","0mg","1g","4g",2014-04-08
"246","All White - Liquid Egg Whites, 9 tbsp","75","0g","0g","15g","0mg","225mg","0g","0g",2014-04-08
"247","Trader Joe's - Organic Free Range Eggs - Large, 1 egg","70","1g","5g","6g","215mg","65mg","0g","0g",2014-04-08
"248","1 Gram - Fats - Macros, 1 Gram","9","0g","1g","0g","0mg","0mg","0g","0g",2014-04-08
"249","Trader Joe's - Quattro Formaggio 4 Cheese Blend, 1/8 cup","50","0g","4g","4g","13mg","110mg","0g","0g",2014-04-08
"250","General Mills Cereal - Honey Nut Rice Chex Gluten Free, 3/4 cup","120","28g","1g","2g","0mg","200mg","9g","1g",2014-04-08
"251","Kellogg's - Rice Krispies Treats Double Chocolatey Chunk 100 Calories, 1 Bar (22g)","100","15g","4g","0g","0mg","75mg","9g","0g",2014-04-08
"252","Almond Breeze - Almond Milk 30 Cal, 2 cup","60","2g","5g","2g","0mg","360mg","0g","2g",2014-04-08
"254","Trader Joe's - Goat's Milk Creamy Cheese, 28 g","45","1g","4g","3g","15mg","140mg","1g","0g",2014-04-08
"255","Almond Breeze - Almond Milk 30 Cal, 1 cup","30","1g","3g","1g","0mg","180mg","0g","1g",2014-04-08
"256","Trader Joe's - Yukon Gold Potato, 280 g","208","49g","0g","6g","0mg","0mg","2g","4g",2014-04-08
"257","Chicken - Breast, meat only, cooked, stewed, 150 g","227","0g","5g","43g","116mg","95mg","0g","0g",2014-04-08
"258","Quaker - Honey Graham Oh's Cereal, 0.75 cup","110","23g","2g","1g","0mg","170mg","12g","1g",2014-04-08
